"ID","Name","Price","Discounts","Translation","Meal Plan","Beds Info","Image","Message","Rating","Rating Stars","Review Count","Location","Main Distance","Public Transport Distance","Is Closed","Is SoldOut","Scraped At"
402041,"Quoc Cuong Center Da Nang Hotel by Haviland","VND 946.200","VND 630.800","Đã bao gồm thuế và phí","","Giường Tầng Trong Phòng Ngủ Tập Thể Cho Nam Và Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/510629628.jpg?k=384691d0c83eba388dfcf458448cbcdef1e22bd3bfe97c006c0f083b7fd99bbf&o=","",8.8,3,369,"Trung tâm Thành phố Đà Nẵng, Đà Nẵng","Cách trung tâm 1,3km","","No","No","2024-05-16T08:31:29.491Z"
313470,"Danang Marriott Resort & Spa","VND 12.400.000","","+VND 1.661.600 thuế và phí","","Phòng Deluxe có Giường cỡ King Nhìn ra Khu vườn
","https://cf.bstatic.com/xdata/images/hotel/square600/469995586.jpg?k=d4f762045c75c16e42363c77fb4e095a6772980ef839130ab08115e713997cd6&o=","",8.7,5,211,"Bãi biển Non Nước, Đà Nẵng","Cách trung tâm 8,5km","","No","No","2024-05-16T08:31:29.491Z"
1850282,"Sekong Hotel Da Nang","VND 3.180.600","VND 12.722.400","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe Giường Đôi Nhìn Ra Biển
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/370565220.jpg?k=d4d0d039d78574fb6258178a75622a7ce5b941b85acc2aea54ef0421a585de21&o=","",8.4,3,1308,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,8km","","No","No","2024-05-16T08:31:29.491Z"
3539571,"Rosabella Boutique Hotel","VND 2.860.852","VND 2.640.788","Đã bao gồm thuế và phí","","Phòng Tiêu Chuẩn Có Giường Cỡ King
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/146661601.jpg?k=9adfb9b165a94e47c9af363cc0ba5e66fe6e64a00f25c30a08c3f8c147699e6a&o=","",8.7,3,335,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,4km","","No","No","2024-05-16T08:31:29.491Z"
8486141,"Lavencos Hotel Da Nang","VND 4.954.994","VND 6.306.358","+VND 396.400 thuế và phí","Bao bữa sáng","Phòng Deluxe Có Giường Cỡ Queen
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/518472892.jpg?k=3bb198600c6c933c1a7e3a52a7f686d418168ed7a177e2aa2783fd2ce1a4743f&o=","",8.9,4,385,"Bãi biển Bắc Mỹ An, Đà Nẵng","Cách trung tâm 4,1km","","No","No","2024-05-16T08:31:29.491Z"
4892135,"IBIZA Danang Riverfront Hotel","VND 3.047.220","VND 3.878.280","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Superior 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/513134156.jpg?k=9c70ad1dd6e54583aa93de9a04d7c4ff0ea5e7f1be9901c30a9ffe287b58e7b6&o=","",8.4,4,504,"Sông Hàn, Đà Nẵng","Cách trung tâm 1,5km","","No","No","2024-05-16T08:31:29.491Z"
3347357,"Four Points by Sheraton Danang","VND 12.500.000","","+VND 1.675.000 thuế và phí","Bao bữa sáng","Phòng Superior 1 Giường King, Hướng Biển, Ban Công
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/478809211.jpg?k=b42bff1487294c3d34d7019d448896a5a06741df2fc20b39e28bdfe887d5a005&o=","",8.4,5,519,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 3km","","No","No","2024-05-16T08:31:29.491Z"
10467082,"Monalisa Luxury Hotel","VND 4.850.788","","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe 2 Giường Đơn
","https://cf.bstatic.com/xdata/images/hotel/square600/480056968.jpg?k=3c175fc7e631a33bf4909cd2343e8d2a27786966d5c9c77b5fb91e576f81d1b0&o=","",8.9,4,296,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 3,4km","","No","No","2024-05-16T08:31:29.491Z"
8588892,"Gold Coast Hotel Da Nang Hotel","VND 2.158.186","VND 2.158.186","Đã bao gồm thuế và phí","","Phòng Superior Giường Đôi/2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/363436090.jpg?k=6f3603f81de7d5ac5a08cb24501d58db72683027882b8cefcb5107c495b7fbdc&o=","",8.1,3,55,"Bãi biển Bắc Mỹ An, Đà Nẵng","Cách trung tâm 4,2km","","No","No","2024-05-16T08:31:29.491Z"
1004683,"Waikiki Beach Hotel","VND 3.183.570","VND 1.714.230","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/557338085.jpg?k=798ae6650aaa52590c5b31fc625b14975703720258ebc124ffc7cc01da5ab4fe&o=","",8.7,3,328,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,6km","","No","No","2024-05-16T08:31:29.491Z"
3457161,"Meliá Vinpearl Danang Riverfront","VND 12.461.112","VND 3.115.278","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/409230190.jpg?k=54249d24a4b833f2c89ed05dcce488761a274c981b327b89d92438bc9843cdc7&o=","",8.8,5,845,"Sông Hàn, Đà Nẵng","Cách trung tâm 1,6km","","No","No","2024-05-16T08:31:29.491Z"
9920855,"Seahorse Signature Danang Hotel by Haviland","VND 1.163.566","VND 626.534","Đã bao gồm thuế và phí","","Giường Trong Phòng Nghỉ Tập Thể 8 Giường Cho Cả Nam Và Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/479058711.jpg?k=1383a189187e5da94b4d12ebc3bbc71b7052f7b0b9066e3442a40b21a8cb06fb&o=","",9.4,3,588,"Trung tâm Thành phố Đà Nẵng, Đà Nẵng","Cách trung tâm 0,7km","","No","No","2024-05-16T08:31:29.491Z"
2746305,"Haka Boutique Hotel","VND 2.770.200","VND 6.463.800","Đã bao gồm thuế và phí","","Phòng Deluxe Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/383971598.jpg?k=be756c358b5a0392cb39003844268fd38c7d11f7ce505d8952e7820a7af2e593&o=","",9.1,3,702,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,9km","","No","No","2024-05-16T08:31:29.491Z"
4432648,"CODI SEA Hotel & Travel","VND 1.927.800","","Đã bao gồm thuế và phí","","Phòng Deluxe (2 Người lớn + 1 Trẻ em)
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/280043568.jpg?k=e8c121518590d8a02ec27013b930b175fe25d9c6f11328d90ef41d752e42c871&o=","",8.7,2,150,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,6km","","No","No","2024-05-16T08:31:29.491Z"
9751497,"Yes Hotel Đà Nẵng","VND 3.745.440","VND 7.270.560","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Superior Giường Đôi
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/438518707.jpg?k=bf164be022409dfc861d7888a8ec706c34684392fb950b8fe15dd0e5190cb4e2&o=","",8.5,4,11,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,5km","","No","No","2024-05-16T08:31:29.491Z"
6957848,"Radisson Hotel Danang","VND 14.774.800","VND 2.405.200","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Deluxe - Nhìn ra Đại dương
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/531203723.jpg?k=476bcf946d4a355c5e9642b97d924dad01070cfb08c9867270617cdffe2ea304&o=","",8.4,5,458,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 2,8km","","No","No","2024-05-16T08:31:29.491Z"
8583394,"Golden Star Hotel & Apartment by THG","VND 2.430.000","VND 2.430.000","Đã bao gồm thuế và phí","","Phòng Deluxe
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/519093557.jpg?k=088c5d07cfd101391fa1f19d64b037f78fd1bc0041d5bff0a9e7dd494d6db2d0&o=","",8.8,4,85,"Bãi biển Mỹ Khê, Đà Nẵng","Cách trung tâm 3,1km","","No","No","2024-05-16T08:31:29.491Z"
10606268,"LUK Inn Hotel","VND 1.021.140","VND 2.272.860","Đã bao gồm thuế và phí","","Giường Tầng Trong Phòng Ngủ Tập Thể Cho Nam Và Nữ
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/486496446.jpg?k=5b688ede6c2c568a88dd5bdbaa41a19e58a5f63d94013f85026d7deede12502c&o=","",8.7,4,49,"Bãi biển Bắc Mỹ An, Đà Nẵng","Cách trung tâm 3,6km","","No","No","2024-05-16T08:31:29.491Z"
426861,"Novotel Danang Premier Han River","VND 14.040.000","","+VND 1.881.360 thuế và phí","Bao bữa sáng","Phòng Superior Có Giường Cỡ King Kèm Ban Công Và Tầm Nhìn Ra Sông Hàn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/265767002.jpg?k=d3201ac953f9c04a53b13dd2f854c9c620d5afa323104a2a2c16c299e1eae4e2&o=","",8.8,5,533,"Sông Hàn, Đà Nẵng","Cách trung tâm 1,1km","","No","No","2024-05-16T08:31:29.491Z"
1741519,"SEA QUEEN Hotel","VND 3.644.866","VND 8.923.634","Đã bao gồm thuế và phí","Bao bữa sáng","Phòng Superior 2 Giường Đơn
2x ","https://cf.bstatic.com/xdata/images/hotel/square600/187056809.jpg?k=87eed30d9427aeaaf157aa5df1f8297f6df73870f2b9f430c746abd3f425dd1e&o=","",8.8,3,148,"Bãi biển Bắc Mỹ An, Đà Nẵng","Cách trung tâm 3,6km","","No","No","2024-05-16T08:31:29.491Z"